Thv,R0,max_value,max_time,exceeded_10,exceeded_100,positive_at_final,positive_duration,H_end_exact,H_end_num,V_end_exact,V_end_num
0.0,0.0,0.0,0.0,false,false,false,0.0,0.0,0.0,0.0,5.9570425e-8
0.125,0.125,0.0038420595,0.0,false,false,false,0.0,0.0,-1.6772404e-15,0.0,2.0131683e-13
0.25,0.25,0.015488527,0.0,false,false,false,0.0,0.0,-2.2275137e-15,0.0,1.3366738e-13
0.375,0.375,0.03530895,0.0,false,false,false,0.0,0.0,5.000449e-15,0.0,-2.0000408e-13
0.5,0.5,0.06414946,0.0,false,false,false,0.0,0.0,-5.930369e-15,0.0,1.7794446e-13
0.625,0.625,0.10319769,0.0,false,false,false,0.0,0.0,-5.936847e-15,0.0,1.5774274e-13
0.75,0.75,0.154929,0.0,false,false,false,0.0,0.0,-3.0752245e-13,0.0,-6.1701824e-12
0.875,0.875,0.22427739,0.0,false,false,false,0.0,0.0,-1.1591984e-11,0.0,-1.9871982e-10
1.0,1.0,0.3333231,0.0,false,false,false,0.0,0.00047683716,0.32835346,0.0071525564,4.925264
1.125,1.125,960.45416,1669.0,true,true,true,3572.0,960.4524,960.4518,12592.597,12592.587
1.25,1.25,1836.7388,858.0,true,true,true,3615.0,1836.735,1836.7345,21600.002,21599.998
1.375,1.375,2626.7292,606.0,true,true,true,3630.0,2626.7285,2626.7278,28264.465,28264.463
1.5,1.5,3333.3843,362.0,true,true,true,3636.0,3333.3337,3333.3323,33333.336,33333.32
1.625,1.625,3962.6392,289.0,true,true,true,3640.0,3962.2646,3962.2642,37278.11,37278.098
1.75,1.75,4521.6587,319.0,true,true,true,3642.0,4520.548,4520.548,40408.16,40408.164
1.875,1.875,5016.8574,225.0,true,true,true,3644.0,5015.5767,5015.578,42933.336,42933.348
2.0,2.0,5456.2827,205.0,true,true,true,3645.0,5454.546,5454.5454,45000.004,45000.004
2.125,2.125,5846.341,187.0,true,true,true,3646.0,5844.156,5844.155,46712.8,46712.797
2.25,2.25,6192.976,176.0,true,true,true,3647.0,6190.4766,6190.477,48148.15,48148.15
2.375,2.375,6501.7827,167.0,true,true,true,3647.0,6498.9062,6498.9053,49362.88,49362.88
2.5,2.5,6777.4424,150.0,true,true,true,3648.0,6774.194,6774.194,50400.0,50400.0
2.625,2.625,7023.878,144.0,true,true,true,3648.0,7020.4844,7020.4834,51292.52,51292.51
2.75,2.75,7244.948,137.0,true,true,true,3648.0,7241.3804,7241.3784,52066.117,52066.117
2.875,2.875,7443.716,131.0,true,true,true,3648.0,7440.0,7440.0,52741.02,52741.027
3.0,3.0,7622.814,123.0,true,true,true,3649.0,7619.048,7619.049,53333.336,53333.336
3.125,3.125,7784.8125,115.0,true,true,true,3649.0,7780.86,7780.8594,53856.004,53856.004
3.25,3.25,7931.5205,110.0,true,true,true,3649.0,7927.461,7927.4614,54319.53,54319.527
3.375,3.375,8064.6494,100.0,true,true,true,3649.0,8060.606,8060.606,54732.508,54732.508
3.5,3.5,8186.0938,97.0,true,true,true,3649.0,8181.8184,8181.8184,55102.04,55102.05
3.625,3.625,8296.388,93.0,true,true,true,3649.0,8292.423,8292.425,55434.004,55434.0
3.75,3.75,8397.932,85.0,true,true,true,3649.0,8393.574,8393.574,55733.336,55733.332
3.875,3.875,8490.486,85.0,true,true,true,3649.0,8486.282,8486.283,56004.164,56004.168
4.0,4.0,8575.317,84.0,true,true,true,3649.0,8571.429,8571.429,56250.004,56249.996
4.125,4.125,8653.795,84.0,true,true,true,3650.0,8649.789,8649.789,56473.832,56473.83
4.25,4.25,8726.234,80.0,true,true,true,3650.0,8722.045,8722.046,56678.2,56678.2
4.375,4.375,8792.933,94.0,true,true,true,3650.0,8788.796,8788.795,56865.305,56865.31
4.5,4.5,8853.874,91.0,true,true,true,3650.0,8850.574,8850.574,57037.04,57037.047
4.625,4.625,8911.6045,82.0,true,true,true,3650.0,8907.85,8907.851,57195.03,57195.027
4.75,4.75,8964.689,79.0,true,true,true,3650.0,8961.039,8961.039,57340.72,57340.723
4.875,4.875,9014.225,78.0,true,true,true,3650.0,9010.514,9010.515,57475.348,57475.348
5.0,5.0,9059.943,76.0,true,true,true,3650.0,9056.604,9056.6045,57600.0,57599.996
