time,Thv,sigma,run,H,V
0.0,0.0,0.0,1,0.0,10.0
30.0,0.0,0.0,1,0.0,0.49715456366539
60.0,0.0,0.0,1,0.0,0.024703286588191986
90.0,0.0,0.0,1,0.0,0.0012286606943234801
120.0,0.0,0.0,1,0.0,6.111894617788494e-5
150.0,0.0,0.0,1,0.0,3.035214831470512e-6
180.0,0.0,0.0,1,0.0,1.506390390204615e-7
210.0,0.0,0.0,1,0.0,7.476275598605753e-9
240.0,0.0,0.0,1,0.0,3.710507179288669e-10
270.0,0.0,0.0,1,0.0,1.845476549355851e-11
300.0,0.0,0.0,1,0.0,9.201196662228517e-13
330.0,0.0,0.0,1,0.0,4.5875399290983e-14
360.0,0.0,0.0,1,0.0,2.287260219887969e-15
390.0,0.0,0.0,1,0.0,1.1403878531103523e-16
420.0,0.0,0.0,1,0.0,5.685761184413388e-18
450.0,0.0,0.0,1,0.0,2.834818269571293e-19
480.0,0.0,0.0,1,0.0,1.4133876799154462e-20
510.0,0.0,0.0,1,0.0,7.046890174935974e-22
540.0,0.0,0.0,1,0.0,3.513435010560584e-23
570.0,0.0,0.0,1,0.0,1.7517299322070322e-24
600.0,0.0,0.0,1,0.0,8.73379462606391e-26
630.0,0.0,0.0,1,0.0,4.354499100496363e-27
660.0,0.0,0.0,1,0.0,2.1710680854986764e-28
690.0,0.0,0.0,1,0.0,1.082452148587471e-29
720.0,0.0,0.0,1,0.0,5.396899100642165e-31
750.0,0.0,0.0,1,0.0,2.690788265889598e-32
780.0,0.0,0.0,1,0.0,1.3415762742301222e-33
810.0,0.0,0.0,1,0.0,6.688841232526545e-35
840.0,0.0,0.0,1,0.0,3.334924251988685e-36
870.0,0.0,0.0,1,0.0,1.6627298626076037e-37
900.0,0.0,0.0,1,0.0,8.290084517542546e-39
930.0,0.0,0.0,1,0.0,4.1333820542496264e-40
960.0,0.0,0.0,1,0.0,2.0621508201004008e-41
990.0,0.0,0.0,1,0.0,1.080401115994434e-42
1020.0,0.0,0.0,1,0.0,7.062544260197078e-43
1050.0,0.0,0.0,1,0.0,7.062544260197078e-43
1080.0,0.0,0.0,1,0.0,7.062544260197078e-43
1110.0,0.0,0.0,1,0.0,7.062544260197078e-43
1140.0,0.0,0.0,1,0.0,7.062544260197078e-43
1170.0,0.0,0.0,1,0.0,7.062544260197078e-43
1200.0,0.0,0.0,1,0.0,7.062544260197078e-43
1230.0,0.0,0.0,1,0.0,7.062544260197078e-43
1260.0,0.0,0.0,1,0.0,7.062544260197078e-43
1290.0,0.0,0.0,1,0.0,7.062544260197078e-43
1320.0,0.0,0.0,1,0.0,7.062544260197078e-43
1350.0,0.0,0.0,1,0.0,7.062544260197078e-43
1380.0,0.0,0.0,1,0.0,7.062544260197078e-43
1410.0,0.0,0.0,1,0.0,7.062544260197078e-43
1440.0,0.0,0.0,1,0.0,7.062544260197078e-43
1470.0,0.0,0.0,1,0.0,7.062544260197078e-43
1500.0,0.0,0.0,1,0.0,7.062544260197078e-43
1530.0,0.0,0.0,1,0.0,7.062544260197078e-43
1560.0,0.0,0.0,1,0.0,7.062544260197078e-43
1590.0,0.0,0.0,1,0.0,7.062544260197078e-43
1620.0,0.0,0.0,1,0.0,7.062544260197078e-43
1650.0,0.0,0.0,1,0.0,7.062544260197078e-43
1680.0,0.0,0.0,1,0.0,7.062544260197078e-43
1710.0,0.0,0.0,1,0.0,7.062544260197078e-43
1740.0,0.0,0.0,1,0.0,7.062544260197078e-43
1770.0,0.0,0.0,1,0.0,7.062544260197078e-43
1800.0,0.0,0.0,1,0.0,7.062544260197078e-43
1830.0,0.0,0.0,1,0.0,7.062544260197078e-43
1860.0,0.0,0.0,1,0.0,7.062544260197078e-43
1890.0,0.0,0.0,1,0.0,7.062544260197078e-43
1920.0,0.0,0.0,1,0.0,7.062544260197078e-43
1950.0,0.0,0.0,1,0.0,7.062544260197078e-43
1980.0,0.0,0.0,1,0.0,7.062544260197078e-43
2010.0,0.0,0.0,1,0.0,7.062544260197078e-43
2040.0,0.0,0.0,1,0.0,7.062544260197078e-43
2070.0,0.0,0.0,1,0.0,7.062544260197078e-43
2100.0,0.0,0.0,1,0.0,7.062544260197078e-43
2130.0,0.0,0.0,1,0.0,7.062544260197078e-43
2160.0,0.0,0.0,1,0.0,7.062544260197078e-43
2190.0,0.0,0.0,1,0.0,7.062544260197078e-43
2220.0,0.0,0.0,1,0.0,7.062544260197078e-43
2250.0,0.0,0.0,1,0.0,7.062544260197078e-43
2280.0,0.0,0.0,1,0.0,7.062544260197078e-43
2310.0,0.0,0.0,1,0.0,7.062544260197078e-43
2340.0,0.0,0.0,1,0.0,7.062544260197078e-43
2370.0,0.0,0.0,1,0.0,7.062544260197078e-43
2400.0,0.0,0.0,1,0.0,7.062544260197078e-43
2430.0,0.0,0.0,1,0.0,7.062544260197078e-43
2460.0,0.0,0.0,1,0.0,7.062544260197078e-43
2490.0,0.0,0.0,1,0.0,7.062544260197078e-43
2520.0,0.0,0.0,1,0.0,7.062544260197078e-43
2550.0,0.0,0.0,1,0.0,7.062544260197078e-43
2580.0,0.0,0.0,1,0.0,7.062544260197078e-43
2610.0,0.0,0.0,1,0.0,7.062544260197078e-43
2640.0,0.0,0.0,1,0.0,7.062544260197078e-43
2670.0,0.0,0.0,1,0.0,7.062544260197078e-43
2700.0,0.0,0.0,1,0.0,7.062544260197078e-43
2730.0,0.0,0.0,1,0.0,7.062544260197078e-43
2760.0,0.0,0.0,1,0.0,7.062544260197078e-43
2790.0,0.0,0.0,1,0.0,7.062544260197078e-43
2820.0,0.0,0.0,1,0.0,7.062544260197078e-43
2850.0,0.0,0.0,1,0.0,7.062544260197078e-43
2880.0,0.0,0.0,1,0.0,7.062544260197078e-43
2910.0,0.0,0.0,1,0.0,7.062544260197078e-43
2940.0,0.0,0.0,1,0.0,7.062544260197078e-43
2970.0,0.0,0.0,1,0.0,7.062544260197078e-43
3000.0,0.0,0.0,1,0.0,7.062544260197078e-43
3030.0,0.0,0.0,1,0.0,7.062544260197078e-43
3060.0,0.0,0.0,1,0.0,7.062544260197078e-43
3090.0,0.0,0.0,1,0.0,7.062544260197078e-43
3120.0,0.0,0.0,1,0.0,7.062544260197078e-43
3150.0,0.0,0.0,1,0.0,7.062544260197078e-43
3180.0,0.0,0.0,1,0.0,7.062544260197078e-43
3210.0,0.0,0.0,1,0.0,7.062544260197078e-43
3240.0,0.0,0.0,1,0.0,7.062544260197078e-43
3270.0,0.0,0.0,1,0.0,7.062544260197078e-43
3300.0,0.0,0.0,1,0.0,7.062544260197078e-43
3330.0,0.0,0.0,1,0.0,7.062544260197078e-43
3360.0,0.0,0.0,1,0.0,7.062544260197078e-43
3390.0,0.0,0.0,1,0.0,7.062544260197078e-43
3420.0,0.0,0.0,1,0.0,7.062544260197078e-43
3450.0,0.0,0.0,1,0.0,7.062544260197078e-43
3480.0,0.0,0.0,1,0.0,7.062544260197078e-43
3510.0,0.0,0.0,1,0.0,7.062544260197078e-43
