gamma,sigma,prob_end_mean,prob_end_25,prob_end_75,prob_out10_mean,prob_out10_25,prob_out10_75,prob_out100_mean,prob_out100_25,prob_out100_75,max_cases_all_mean,max_cases_all_25,max_cases_all_75,num_cases_mean,num_cases_25,num_cases_75,end_time_mean,end_time_25,end_time_75,time_max_mean,time_max_25,time_max_75
4.0,0.0,0.9590000000000002,0.95,0.97,0.9590000000000002,0.95,0.97,0.9590000000000002,0.95,0.97,2720.801558837976,2693.1663277145235,2753.127613469038,1350.9235810178714,1302.8836460695784,1406.3017546973638,3501.8360000000002,3469.26,3541.3475,2065.427,2012.3799999999999,2130.5275
4.0,0.02,0.9570000000000001,0.9524999999999999,0.96,0.9570000000000001,0.9524999999999999,0.96,0.9570000000000001,0.9524999999999999,0.96,2803.5381615597116,2791.7828655936096,2811.89646750714,1263.1091158849306,1190.7408054415905,1338.7489573971175,3494.7529999999997,3478.495,3505.7574999999997,2047.089,2017.5949999999998,2093.9
4.0,0.04,0.9640000000000001,0.96,0.97,0.9640000000000001,0.96,0.97,0.9640000000000001,0.96,0.97,2990.1469361799554,2973.6114642743996,3012.8711220766854,1164.0127029939686,1131.2368468827658,1211.2346530116456,3521.631,3507.39,3542.89,1987.2459999999999,1917.8500000000001,2073.4
4.0,0.06,0.891,0.89,0.8975,0.891,0.89,0.8975,0.891,0.89,0.8975,2956.073148569247,2950.002299477754,2975.761975472437,931.3234973997116,912.2455744448534,965.3591452906602,3257.5679999999998,3253.065,3280.6475,1879.2740000000001,1859.0225,1898.53
4.0,0.08,0.966,0.96,0.97,0.966,0.96,0.97,0.966,0.96,0.97,3380.500834905238,3363.0032310908196,3396.019787408525,1182.0823308468505,1155.5842048039183,1208.5083393795926,3527.1270000000004,3505.3450000000003,3541.715,2206.3630000000003,2172.295,2242.085
4.0,0.1,0.9180000000000001,0.91,0.9275,0.9180000000000001,0.91,0.9275,0.9180000000000001,0.91,0.9275,3432.8231269660355,3402.237179112818,3466.8319323565233,1192.386823069084,1163.942273074638,1204.596773045661,3354.0389999999998,3324.8575,3388.4024999999997,2006.2,1969.0575,2028.19
4.0,0.12,0.885,0.87,0.8875,0.885,0.87,0.8875,0.885,0.87,0.8875,3483.1012491928805,3411.619127964613,3507.4206991305928,1027.4957255000209,982.0959822563773,1080.8551286018887,3236.0200000000004,3181.7825000000003,3244.835,1884.274,1846.6499999999999,1905.865
4.0,0.14,0.946,0.94,0.95,0.946,0.94,0.95,0.946,0.94,0.95,3975.844605539622,3961.530985696423,4003.1877786907794,1228.5738161111808,1185.378986653433,1275.6948870823192,3455.0860000000002,3433.2125,3469.61,2106.8059999999996,2073.04,2136.605
4.0,0.16,0.9179999999999999,0.92,0.92,0.9179999999999999,0.92,0.92,0.9179999999999999,0.92,0.92,4032.8910275280277,4030.0213542850292,4041.85770614791,1388.3121850007715,1329.3237929294337,1450.4194497656654,3353.5810000000006,3360.2,3361.1675,1909.5699999999997,1884.2024999999999,1942.1625
4.0,0.18,0.9040000000000001,0.9,0.91,0.9040000000000001,0.9,0.91,0.9040000000000001,0.9,0.91,4185.503320525893,4155.25683324252,4219.02523235292,1133.5415296194562,1101.9943418185765,1145.1667249867678,3305.451,3290.3,3328.19,1966.0849999999998,1903.4850000000001,2013.555
4.0,0.2,0.9180000000000001,0.91,0.93,0.9180000000000001,0.91,0.93,0.9180000000000001,0.91,0.93,4465.835321982386,4427.475685552667,4538.212826268514,1307.280606305065,1213.9913079385046,1388.5711814705269,3355.097,3325.83,3399.1499999999996,2023.0349999999999,1997.7225,2080.11
